,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2829,The Clock Keeps Ticking,0.785,0.565,5,-6.661,0,0.0422,0.0865,0.211,0.259,0.186,112.017,audio_features,30hKEQLgr25oI91btWLvCi,spotify:track:30hKEQLgr25oI91btWLvCi,https://api.spotify.com/v1/tracks/30hKEQLgr25oI91btWLvCi,https://api.spotify.com/v1/audio-analysis/30hKEQLgr25oI91btWLvCi,282857,4
2830,Bass Da Da Da,0.968,0.91,8,-0.241,1,0.0936,0.0111,0.000547,0.101,0.725,127.085,audio_features,0a1g6odiICBypzMujzpMMV,spotify:track:0a1g6odiICBypzMujzpMMV,https://api.spotify.com/v1/tracks/0a1g6odiICBypzMujzpMMV,https://api.spotify.com/v1/audio-analysis/0a1g6odiICBypzMujzpMMV,122293,4
2831,illicit affairs,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,audio_features,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/tracks/2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/audio-analysis/2NmsngXHeC1GQ9wWrzhOMf,190898,4
2832,Since U Been Gone,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,audio_features,6JY1IdkZGeIcPegKxjSKeb,spotify:track:6JY1IdkZGeIcPegKxjSKeb,https://api.spotify.com/v1/tracks/6JY1IdkZGeIcPegKxjSKeb,https://api.spotify.com/v1/audio-analysis/6JY1IdkZGeIcPegKxjSKeb,188960,4
2833,Cuando Vuelvas,0.625,0.94,4,-4.088,0,0.0661,0.0153,3.83e-06,0.194,0.394,110.014,audio_features,3bHrZfWicpYv8TEKwNJMsV,spotify:track:3bHrZfWicpYv8TEKwNJMsV,https://api.spotify.com/v1/tracks/3bHrZfWicpYv8TEKwNJMsV,https://api.spotify.com/v1/audio-analysis/3bHrZfWicpYv8TEKwNJMsV,195293,4
2834,Yendo a la Casa de Damián,0.662,0.767,9,-5.166,0,0.0403,0.0588,0.0,0.215,0.525,105.947,audio_features,27JpiXdW4QmLwYQaQYymY2,spotify:track:27JpiXdW4QmLwYQaQYymY2,https://api.spotify.com/v1/tracks/27JpiXdW4QmLwYQaQYymY2,https://api.spotify.com/v1/audio-analysis/27JpiXdW4QmLwYQaQYymY2,256107,4
2835,More - Franc Moody Remix,0.757,0.711,3,-5.708,0,0.0351,0.445,0.523,0.261,0.808,124.034,audio_features,4mu3pQH0hzWrIxkbJodBoO,spotify:track:4mu3pQH0hzWrIxkbJodBoO,https://api.spotify.com/v1/tracks/4mu3pQH0hzWrIxkbJodBoO,https://api.spotify.com/v1/audio-analysis/4mu3pQH0hzWrIxkbJodBoO,242773,4
2836,Tusa,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,audio_features,7k4t7uLgtOxPwTpFmtJNTY,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4
2837,Too Late,0.552,0.74,2,-2.335,1,0.124,0.074,0.0,0.113,0.601,97.049,audio_features,6Q0cy1jCa8EpvT6hd9rrs9,spotify:track:6Q0cy1jCa8EpvT6hd9rrs9,https://api.spotify.com/v1/tracks/6Q0cy1jCa8EpvT6hd9rrs9,https://api.spotify.com/v1/audio-analysis/6Q0cy1jCa8EpvT6hd9rrs9,193918,4
2838,True Love (feat. Monsieur Periné & Juan Pablo Vega),0.684,0.599,11,-9.583,0,0.0299,0.528,0.00147,0.159,0.734,127.994,audio_features,6eCWx3wt0NsvGNMRbWGPQT,spotify:track:6eCWx3wt0NsvGNMRbWGPQT,https://api.spotify.com/v1/tracks/6eCWx3wt0NsvGNMRbWGPQT,https://api.spotify.com/v1/audio-analysis/6eCWx3wt0NsvGNMRbWGPQT,315859,4
