,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
39,Departamento,Departamento,Bandalos Chinos,2019,234866,63,0.698,0.311,0.698,0.674,0.00194,0.359,-5.769,0.0464,125.016,4
40,Una Noche Más,Bailemos en la Sala,Adrian Bello,2022-06-23,211400,47,0.741,0.184,0.741,0.556,8.95e-05,0.148,-5.824,0.0287,96.985,4
41,A Dónde Vamos?,A Dónde Vamos?,Dromedarios Mágicos,2020-10-29,202230,43,0.58,0.0318,0.58,0.638,0.0,0.288,-9.846,0.0299,132.072,4
42,Si Tú Me Quieres,Todo Lo Rico,La Garfield,2018-08-10,246613,50,0.829,0.42,0.829,0.786,5.42e-06,0.0264,-5.066,0.0352,126.046,4
43,Una Propuesta,El Big Blue,Bandalos Chinos,2022-05-06,195333,52,0.662,0.358,0.662,0.66,0.000575,0.0927,-7.795,0.0319,126.506,4
44,Sueno en Paraguay,Amansara,Chancha Via Circuito,2014-09-23,233012,0,0.794,0.137,0.794,0.59,0.919,0.0771,-8.013,0.052,90.799,4
45,Yo No Tengo Pena,Más Sabor,Angel Canales,1977-01-01,370466,40,0.629,0.7,0.629,0.42,0.0117,0.139,-12.317,0.0479,117.237,4
46,A Patricia,Sicodélicos,Los Destellos,2016-08-01,191240,48,0.683,0.00903,0.683,0.703,0.776,0.105,-7.24,0.0377,99.56,4
47,Guajira Sicodélica,Sicodélicos,Los Destellos,2016-08-01,212466,55,0.743,0.0158,0.743,0.854,0.825,0.344,-5.725,0.0373,137.157,4
48,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,89,0.647,0.08,0.647,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
49,Linger On - Sand Castle Tapes version,Sand Castle Tapes,Balthazar,2021-09-24,272040,30,0.762,0.089,0.762,0.342,0.000737,0.174,-9.879,0.0565,105.95,4
50,Good Luck,Good Luck,Broken Bells,2019-09-27,206813,1,0.622,0.352,0.622,0.512,0.405,0.109,-7.44,0.0383,169.983,4
51,Phone Number,Fever,Balthazar,2019-01-25,291426,37,0.457,0.0604,0.457,0.537,0.606,0.145,-8.595,0.106,184.211,3
52,And The Living Is Easy,The Pure,Various Artists,2008-05-19,311493,60,0.872,0.0847,0.872,0.61,0.322,0.643,-7.965,0.0421,114.995,4
53,Stumble,Juicy Fruit,Kraak & Smaak,2016-06-10,270720,63,0.665,0.0917,0.665,0.549,0.557,0.0583,-11.388,0.0458,91.036,4
54,You're So Real,Fever,Balthazar,2019-01-25,247120,35,0.694,0.0238,0.694,0.553,0.627,0.177,-7.887,0.0309,135.967,4
55,The Best Part,The Best Part,gardenstate,2021-07-14,250000,69,0.688,0.0203,0.688,0.654,0.251,0.117,-8.521,0.0493,123.011,4
56,Me has conocido en un momento extraño de mi vida,El Largo Mañana,Rufus T. Firefly,2021-11-26,263967,32,0.514,0.111,0.514,0.813,0.751,0.0825,-7.52,0.0478,92.117,4
57,Bunker,Thin Walls,Balthazar,2015-03-30,291280,58,0.678,0.222,0.678,0.444,0.0213,0.165,-8.889,0.0362,106.977,4
58,Mi Fiesta,El Big Blue,Bandalos Chinos,2022-05-06,192880,61,0.782,0.224,0.782,0.571,0.000502,0.0612,-8.62,0.0315,104.6,4
59,Lucidity,InnerSpeaker,Tame Impala,2010-05-21,271720,54,0.367,0.109,0.367,0.872,0.0944,0.351,-6.301,0.0641,147.015,4
60,Spätsommerregen,12,AnnenMayKantereit,2020-11-16,227392,49,0.747,0.218,0.747,0.628,0.351,0.0742,-11.823,0.0407,123.977,4
61,Andrea,Un Verano Sin Ti,Bad Bunny,2022-05-06,339611,79,0.797,0.762,0.797,0.616,0.000293,0.0979,-10.229,0.375,103.071,4
62,Otro Atardecer,Un Verano Sin Ti,Bad Bunny,2022-05-06,244444,81,0.777,0.59,0.777,0.595,0.00139,0.0669,-6.79,0.0375,108.02,4
63,"No Light, No Light",Ceremonials (Original Deluxe Version),Florence + The Machine,2011-01-01,274853,56,0.426,0.00793,0.426,0.749,1.53e-05,0.44,-5.611,0.0523,131.965,4
64,Long & Lost,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,2015-06-01,195081,51,0.384,0.726,0.384,0.423,1.47e-05,0.119,-11.88,0.0579,82.405,4
65,What Kind Of Man,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,2015-06-01,216176,59,0.313,0.0229,0.313,0.635,0.0,0.129,-4.676,0.0431,114.776,4
66,Do Not Claim Them Anymore,Rats,Balthazar,2012-10-15,237740,46,0.798,0.303,0.798,0.536,0.125,0.11,-10.345,0.0474,99.995,4
67,Fever,Fever,Balthazar,2019-01-25,365080,53,0.508,0.197,0.508,0.547,0.54,0.11,-11.088,0.0809,119.022,4
68,Navajo,Navajo,Masego,2017-06-08,194157,72,0.567,0.117,0.567,0.593,1.32e-06,0.248,-7.404,0.288,88.545,4
69,King,King,Florence + The Machine,2022-02-23,280130,58,0.73,0.142,0.73,0.445,0.00109,0.107,-8.376,0.0446,105.976,4
70,Sway,Konk,The Kooks,2008-01-01,216880,41,0.397,0.124,0.397,0.772,0.0,0.107,-5.512,0.0453,152.376,4
71,Queen Of Peace,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,2015-06-01,307347,54,0.47,0.0322,0.47,0.894,5.4e-05,0.0903,-2.621,0.0418,126.03,4
72,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,85,0.516,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972,4
73,Darling,Bloomsday,Esbe,2015-12-11,189090,67,0.72,0.0938,0.72,0.681,0.0161,0.109,-8.962,0.0469,99.002,4
74,Berlin,Dawn,RY X,2016-05-06,174172,0,0.394,0.963,0.394,0.0655,0.154,0.107,-20.418,0.0384,137.065,4
75,Sit Next to Me,Sacred Hearts Club,Foster The People,2017-07-21,243146,72,0.638,0.117,0.638,0.738,0.000384,0.689,-4.976,0.0292,97.021,4
76,Which Witch,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,2015-06-01,259208,51,0.507,0.00761,0.507,0.662,0.0,0.259,-6.986,0.0492,134.88,4
77,Got It Bad,Leisure,LEISURE,2018-10-05,205601,67,0.793,0.00839,0.793,0.468,0.0786,0.0689,-10.053,0.0408,96.001,4
